# pid=100083 startedAt=2026-08-26T10:53:17.188305854Z
epoch	vmrss_kb	vmsize_kb	rssanon_kb	heap_virt_kb	heap_rss_kb	threads	est_tcp
1787742608	205320	375868	191188	141312	114828	13	3000
1787742623	209460	375868	195324	141312	118704	13	3000
1787742638	212708	375868	198572	141312	121924	13	3000
1787742653	216488	388156	202352	153600	125540	13	3000
1787742668	220088	400444	205952	165888	129116	13	3000
1787742683	223800	400444	209676	165888	132676	13	3000
1787742698	227788	400444	213652	165888	136632	13	3000
1787742713	231192	400444	217056	165888	139868	13	3000
1787742728	234840	400444	220704	165888	143432	13	3000
1787742743	238592	400444	224460	165888	147068	13	3000
1787742759	241936	420924	227800	186368	150480	13	3000
1787742774	245576	420924	231444	186368	153880	13	3000
1787742789	249448	420924	235312	186368	157716	13	3000
1787742804	253244	420924	239108	186368	161380	13	3000
1787742819	256880	449596	242744	215040	165004	13	3000
1787742834	260724	449596	246588	215040	168696	13	3000
1787742849	264368	449596	250232	215040	172212	13	3000
1787742864	268184	449596	254048	215040	175904	13	3000
1787742879	271820	449596	257684	215040	179456	13	3000
1787742894	275528	449596	261392	215040	183108	13	3000
1787742909	279140	449596	265004	215040	186676	13	3000
1787742924	282828	449596	268704	215040	190208	13	3000
1787742939	286584	449596	272448	215040	193908	13	3000
1787742954	290116	449596	275980	215040	197364	13	3000
1787742969	293900	449596	279764	215040	200996	13	3000
1787742984	297708	449596	283572	215040	204672	13	3000
1787742999	301232	506940	287096	272384	208104	13	3000
1787743014	305400	506940	291268	272384	212228	13	3000
1787743029	308760	506940	294624	272384	215464	13	3000
1787743044	312560	506940	298424	272384	219184	13	3000
1787743060	316208	511036	302072	276480	222784	13	3000
1787743075	319944	515132	305812	280576	226472	13	3000
1787743090	323604	515132	309468	280576	230016	13	3000
1787743105	327172	515132	313036	280576	233664	13	3000
1787743120	330876	515132	316748	280576	237300	13	3000
1787743135	334332	515132	320196	280576	240748	13	3000
1787743150	338284	515132	324148	280576	244684	13	3000
1787743165	341852	515132	327716	280576	248304	13	3000
1787743180	345516	515132	331380	280576	251948	13	3000
1787743195	349176	535612	335040	301056	255620	13	3000
1787743210	352968	535612	338832	301056	259400	13	3000
1787743225	356844	556092	342708	321536	263204	13	3000
1787743240	360392	556092	346256	321536	266840	13	3000
1787743255	364076	556092	349940	321536	270444	13	3000
1787743270	367920	556092	353784	321536	274304	13	3000
1787743285	371508	556092	357376	321536	277880	13	3000
1787743300	375240	584764	361104	350208	281600	13	3000
1787743315	378976	584764	364840	350208	285284	13	3000
1787743330	382732	584764	368604	350208	289100	13	3000
1787743345	386196	584764	372060	350208	292608	13	3000
1787743360	389880	584764	375744	350208	296300	13	3000
1787743376	393968	584764	379832	350208	300316	13	3000
1787743391	397608	584764	383472	350208	304036	13	3000
1787743406	401132	584764	386996	350208	307524	13	3000
1787743421	404704	584764	390568	350208	311192	13	3000
1787743436	408400	584764	394264	350208	314788	13	3000
1787743451	411876	584764	397744	350208	318348	13	3000
1787743466	415836	609340	401712	374784	322260	13	3000
1787743481	419468	633916	405336	399360	325852	13	3000
1787743496	423260	633916	409124	399360	329588	13	3000
1787743511	426792	633916	412656	399360	333192	13	3000
1787743526	430760	633916	416624	399360	337104	13	3000
1787743541	434152	633916	420016	399360	340644	13	3000
1787743556	438084	633916	423948	399360	344424	13	3000
1787743571	441868	633916	427736	399360	348300	13	3000
1787743586	445452	633916	431316	399360	351776	13	3000
1787743601	449120	633916	434984	399360	355512	13	3000
1787743616	452652	633916	438520	399360	359116	13	3000
1787743631	456492	633916	442356	399360	362896	13	3000
1787743646	460032	666684	445896	432128	366464	13	3000
1787743661	463932	666684	449796	432128	370260	13	3000
1787743677	467416	666684	453280	432128	373844	13	3000
1787743692	471348	666684	457212	432128	377664	13	3000
1787743707	474992	666684	460856	432128	381348	13	3000
1787743722	478548	666684	464412	432128	384876	13	3000
1787743737	482096	666684	467964	432128	388488	13	3000
1787743752	485920	666684	471792	432128	392324	13	3000
1787743767	489452	666684	475316	432128	395860	13	3000
1787743782	493256	695356	479120	460800	399708	13	3000
1787743797	496944	724028	482812	489472	403352	13	3000
1787743812	500624	724028	486488	489472	407016	13	3000
1787743827	504312	724028	490180	489472	410688	13	3000
1787743842	508192	724028	494056	489472	414572	13	3000
1787743857	511604	724028	497468	489472	418016	13	3000
1787743872	515492	724028	501356	489472	421828	13	3000
1787743887	519196	724028	505060	489472	425636	13	3000
1787743902	522756	724028	508620	489472	429212	13	3000
1787743917	526352	724028	512216	489472	432824	13	3000
1787743932	530080	724028	515944	489472	436452	13	3000
1787743947	533956	724028	519832	489472	440392	13	3000
1787743962	523740	724028	509604	489472	436220	13	1360
1787743977	47188	724028	33052	489472	14712	13	0
1787743992	39708	724028	25572	489472	7232	13	0
1787744007	39708	724028	25572	489472	7232	13	0
1787744022	39708	724028	25572	489472	7232	13	0
1787744038	39708	724028	25572	489472	7232	13	0
1787744053	39708	724028	25572	489472	7232	13	0
1787744068	39708	724028	25572	489472	7232	13	0
1787744083	39708	724028	25572	489472	7232	13	0
1787744098	39708	724028	25572	489472	7232	13	0
1787744113	39708	724028	25572	489472	7232	13	0
1787744128	39708	724028	25572	489472	7232	13	0
1787744143	39708	724028	25572	489472	7232	13	0
1787744158	39708	724028	25572	489472	7232	13	0
1787744173	39708	724028	25572	489472	7232	13	0
1787744188	39708	724028	25572	489472	7232	13	0
1787744203	39708	724028	25572	489472	7232	13	0
1787744218	39708	724028	25572	489472	7232	13	0
1787744233	39708	724028	25572	489472	7232	13	0
1787744248	39708	724028	25572	489472	7232	13	0
1787744263	39708	724028	25572	489472	7232	13	0
1787744278	39708	724028	25572	489472	7232	13	0
1787744293	39708	724028	25572	489472	7232	13	0
1787744308	39708	724028	25572	489472	7232	13	0
1787744323	39708	724028	25572	489472	7232	13	0
1787744338	39708	724028	25572	489472	7232	13	0
1787744353	39708	724028	25572	489472	7232	13	0
1787744368	39708	724028	25572	489472	7232	13	0
1787744383	39708	724028	25572	489472	7232	13	0
1787744398	39708	724028	25572	489472	7232	13	0
1787744413	39708	724028	25572	489472	7232	13	0
1787744428	39708	724028	25572	489472	7232	13	0
1787744443	39708	724028	25572	489472	7232	13	0
1787744458	39708	724028	25572	489472	7232	13	0
1787744473	39708	724028	25572	489472	7232	13	0
1787744488	39708	724028	25572	489472	7232	13	0
1787744503	39708	724028	25572	489472	7232	13	0
1787744518	39708	724028	25572	489472	7232	13	0
1787744533	39708	724028	25572	489472	7232	13	0
1787744548	39708	724028	25572	489472	7232	13	0
1787744563	39708	724028	25572	489472	7232	13	0
1787744578	39708	724028	25572	489472	7232	13	0
1787744593	39708	724028	25572	489472	7232	13	0
1787744608	39708	724028	25572	489472	7232	13	0
1787744623	39708	724028	25572	489472	7232	13	0
1787744638	39708	724028	25572	489472	7232	13	0
1787744653	39708	724028	25572	489472	7232	13	0
1787744668	39708	724028	25572	489472	7232	13	0
1787744683	39708	724028	25572	489472	7232	13	0
1787744698	39708	724028	25572	489472	7232	13	0
1787744713	39708	724028	25572	489472	7232	13	0
1787744728	39708	724028	25572	489472	7232	13	0
1787744743	39708	724028	25572	489472	7232	13	0
1787744758	39708	724028	25572	489472	7232	13	0
1787744773	39708	724028	25572	489472	7232	13	0
1787744788	39708	724028	25572	489472	7232	13	0
1787744803	39708	724028	25572	489472	7232	13	0
1787744819	39708	724028	25572	489472	7232	13	0
1787744834	39708	724028	25572	489472	7232	13	0
1787744849	39708	724028	25572	489472	7232	13	0
1787744864	39708	724028	25572	489472	7232	13	0
1787744879	39708	724028	25572	489472	7232	13	0
1787744894	39708	724028	25572	489472	7232	13	0
1787744909	39708	724028	25572	489472	7232	13	0
1787744924	39708	724028	25572	489472	7232	13	0
1787744939	39708	724028	25572	489472	7232	13	0
1787744954	39708	724028	25572	489472	7232	13	0
1787744969	39708	724028	25572	489472	7232	13	0
1787744984	39708	724028	25572	489472	7232	13	0
1787744999	39708	724028	25572	489472	7232	13	0
1787745014	39708	724028	25572	489472	7232	13	0
1787745029	39708	724028	25572	489472	7232	13	0
1787745044	39708	724028	25572	489472	7232	13	0
1787745059	39708	724028	25572	489472	7232	13	0
1787745074	39708	724028	25572	489472	7232	13	0
1787745089	39708	724028	25572	489472	7232	13	0
1787745104	39708	724028	25572	489472	7232	13	0
1787745119	39708	724028	25572	489472	7232	13	0
1787745134	39708	724028	25572	489472	7232	13	0
1787745149	39708	724028	25572	489472	7232	13	0
1787745164	39708	724028	25572	489472	7232	13	0
1787745179	39708	724028	25572	489472	7232	13	0
1787745194	39708	724028	25572	489472	7232	13	0
1787745209	39708	724028	25572	489472	7232	13	0
1787745224	39708	724028	25572	489472	7232	13	0
1787745239	39708	724028	25572	489472	7232	13	0
1787745254	39708	724028	25572	489472	7232	13	0
1787745269	39708	724028	25572	489472	7232	13	0
1787745284	39708	724028	25572	489472	7232	13	0
1787745299	39708	724028	25572	489472	7232	13	0
1787745314	39708	724028	25572	489472	7232	13	0
1787745329	39708	724028	25572	489472	7232	13	0
1787745344	39708	724028	25572	489472	7232	13	0
1787745359	39708	724028	25572	489472	7232	13	0
1787745374	39708	724028	25572	489472	7232	13	0
1787745389	39708	724028	25572	489472	7232	13	0
# done 1787745404
