# pid=132981 startedAt=2026-08-28T09:17:14.084738896Z
epoch	vmrss_kb	vmsize_kb	rssanon_kb	heap_virt_kb	heap_rss_kb	threads	est_tcp
1787912572	128872	289868	114724	35840	32596	13	5250
1787912587	128704	289868	114556	35840	32596	13	5250
1787912602	128496	289868	114348	35840	32524	13	5250
1787912617	128548	289868	114400	35840	32524	13	5250
1787912632	128524	289868	114376	35840	32576	13	5250
1787912647	128540	289868	114392	35840	32548	13	5250
1787912662	128112	289868	113964	35840	32656	13	5250
1787912677	128008	289868	113860	35840	32520	13	5250
1787912692	127960	289868	113812	35840	32520	13	5250
1787912707	128072	289868	113924	35840	32456	13	5250
1787912723	128232	289868	114084	35840	32432	13	5250
1787912738	128388	289868	114240	35840	32432	13	5250
1787912753	128304	289868	114156	35840	32432	13	5250
1787912768	128384	289868	114236	35840	32500	13	5250
1787912783	128124	289868	113976	35840	32500	13	5250
1787912798	128484	289868	114336	35840	32508	13	5250
1787912813	128316	289868	114168	35840	32544	13	5250
1787912828	128724	289868	114576	35840	32608	13	5250
1787912843	127936	289868	113788	35840	32444	13	5250
1787912858	128348	289868	114200	35840	32448	13	5250
1787912873	128408	289868	114260	35840	32432	13	5250
1787912888	128424	289868	114276	35840	32412	13	5250
1787912903	121536	289868	107388	35840	29508	13	4670
1787912918	70152	289868	56004	35840	10068	13	0
1787912933	29788	289868	15640	35840	1280	13	0
1787912948	29788	289868	15640	35840	1280	13	0
1787912963	29788	289868	15640	35840	1280	13	0
1787912978	29788	289868	15640	35840	1280	13	0
1787912993	29788	289868	15640	35840	1280	13	0
1787913008	29788	289868	15640	35840	1280	13	0
1787913023	29788	289868	15640	35840	1280	13	0
1787913038	29788	289868	15640	35840	1280	13	0
1787913053	29788	289868	15640	35840	1280	13	0
1787913068	29788	289868	15640	35840	1280	13	0
1787913083	29788	289868	15640	35840	1280	13	0
1787913098	29788	289868	15640	35840	1280	13	0
1787913113	29788	289868	15640	35840	1280	13	0
1787913128	29788	289868	15640	35840	1280	13	0
